Q-function training is starting
[Epoch 0/1000000] Q loss: 0.4786620686704718, score: 0, distance survived: 37
[Epoch 10/1000000] Q loss: 0.36644921642967143, score: 0, distance survived: 37
[Epoch 20/1000000] Q loss: 0.14780465219757583, score: 0, distance survived: 37
[Epoch 30/1000000] Q loss: 0.06300888134593524, score: 0, distance survived: 79
[Epoch 40/1000000] Q loss: 0.016931190389953926, score: 0, distance survived: 37
[Epoch 50/1000000] Q loss: 0.021052615827949265, score: 0, distance survived: 49
[Epoch 60/1000000] Q loss: 0.006973216496066212, score: 0, distance survived: 40
[Epoch 70/1000000] Q loss: 0.007978953755199724, score: 0, distance survived: 51
[Epoch 80/1000000] Q loss: 0.005399743998706503, score: 0, distance survived: 49
[Epoch 90/1000000] Q loss: 0.0037026627900261775, score: 0, distance survived: 51
[Epoch 100/1000000] Q loss: 0.00281237000301521, score: 0, distance survived: 55
[Epoch 110/1000000] Q loss: 0.0030090810306565383, score: 0, distance survived: 188
[Epoch 120/1000000] Q loss: 0.0031164840484531396, score: 0, distance survived: 118
[Epoch 130/1000000] Q loss: 0.003113826740408919, score: 0, distance survived: 135
[Epoch 140/1000000] Q loss: 0.004110367594358716, score: 0, distance survived: 70
[Epoch 150/1000000] Q loss: 0.0021042037906021886, score: 0, distance survived: 120
[Epoch 160/1000000] Q loss: 0.0017012727983102894, score: 0, distance survived: 54
[Epoch 170/1000000] Q loss: 0.003942004635490211, score: 0, distance survived: 121
[Epoch 180/1000000] Q loss: 0.0030333994419444975, score: 0, distance survived: 53
[Epoch 190/1000000] Q loss: 0.002071581585956948, score: 0, distance survived: 192
[Epoch 200/1000000] Q loss: 0.0017674122259015285, score: 0, distance survived: 95
[Epoch 210/1000000] Q loss: 0.0039735028150933655, score: 0, distance survived: 199
[Epoch 220/1000000] Q loss: 0.00254126692409874, score: 0, distance survived: 89
[Epoch 230/1000000] Q loss: 0.0020015775041615823, score: 0, distance survived: 207
[Epoch 240/1000000] Q loss: 0.0018799914055431313, score: 0, distance survived: 205
[Epoch 250/1000000] Q loss: 0.001776341924255301, score: 0, distance survived: 92
[Epoch 260/1000000] Q loss: 0.002312678309098889, score: 0, distance survived: 114
[Epoch 270/1000000] Q loss: 0.002813172132897777, score: 0, distance survived: 202
[Epoch 280/1000000] Q loss: 0.002376904793286631, score: 0, distance survived: 120
[Epoch 290/1000000] Q loss: 0.0014948355785799855, score: 0, distance survived: 194
[Epoch 300/1000000] Q loss: 0.0017337993834389493, score: 0, distance survived: 130
[Epoch 310/1000000] Q loss: 0.00207498693157701, score: 0, distance survived: 205
[Epoch 320/1000000] Q loss: 0.001918061548833236, score: 0, distance survived: 128
[Epoch 330/1000000] Q loss: 0.0023269050057520176, score: 0, distance survived: 202
[Epoch 340/1000000] Q loss: 0.0017439982370822964, score: 0, distance survived: 98
[Epoch 350/1000000] Q loss: 0.00310147294589436, score: 0, distance survived: 198
[Epoch 360/1000000] Q loss: 0.0016587524305766476, score: 0, distance survived: 198
[Epoch 370/1000000] Q loss: 0.0025184273902233234, score: 0, distance survived: 196
[Epoch 380/1000000] Q loss: 0.0019563813558548596, score: 0, distance survived: 201
[Epoch 390/1000000] Q loss: 0.002781592331809286, score: 0, distance survived: 199
[Epoch 400/1000000] Q loss: 0.0016138175919796442, score: 0, distance survived: 196
[Epoch 410/1000000] Q loss: 0.0028696426121789078, score: 0, distance survived: 61
[Epoch 420/1000000] Q loss: 0.0023651784456204606, score: 0, distance survived: 197
[Epoch 430/1000000] Q loss: 0.0026168901291893794, score: 0, distance survived: 201
[Epoch 440/1000000] Q loss: 0.0018808762660448735, score: 0, distance survived: 207
[Epoch 450/1000000] Q loss: 0.0027621668115042027, score: 0, distance survived: 65
[Epoch 460/1000000] Q loss: 0.0018013364624173808, score: 0, distance survived: 64
[Epoch 470/1000000] Q loss: 0.0016825612361581034, score: 0, distance survived: 204
[Epoch 480/1000000] Q loss: 0.0022190586985523023, score: 0, distance survived: 64
[Epoch 490/1000000] Q loss: 0.0014770652088196272, score: 0, distance survived: 64
[Epoch 500/1000000] Q loss: 0.001996738316307027, score: 0, distance survived: 64
[Epoch 510/1000000] Q loss: 0.002284974747495283, score: 0, distance survived: 64
[Epoch 520/1000000] Q loss: 0.0027803690823034635, score: 0, distance survived: 67
